a,b,c,d,e,f,g,h,i,j,k
27.7932,16.2974,16.3013,4.817,2.685,0.0005,1.8482,0.2042,0.0097,0.0003,0
27.7554,16.2934,16.2973,4.732,2.6862,0,1.8498,0.2185,0.0097,0.0003,0
27.7475,16.2834,16.2873,4.644,2.6876,0.001,1.9873,0.2187,0.0097,0.0002,0
27.7393,16.2736,16.2775,4.578,2.6893,0.0002,1.8313,0.2182,0.0106,0,0
27.7296,16.2653,16.2692,4.53,2.6897,0.0005,1.9182,0.2244,0.0099,0.0002,0
27.7275,16.2585,16.2624,4.506,2.6909,0.0004,1.8042,0.2244,0.0102,0.0011,0
27.739,16.2529,16.2568,4.526,2.6907,0.0009,1.7279,0.2251,0.011,0,0
27.7519,16.2506,16.2545,4.568,2.6921,0.0001,1.6563,0.2246,0.0111,0.0004,0
27.7515,16.2496,16.2535,4.636,2.6931,0,1.8142,0.2103,0.0112,0.0002,0
27.6959,16.2467,16.2506,4.719,2.6938,0.0002,1.8449,0.2104,0.0106,0,0
27.6932,16.2409,16.2448,4.793,2.6946,0,1.8466,0.2098,0.0101,0.0002,0
27.7607,16.2389,16.2428,4.852,2.695,0.0007,1.8908,0.2007,0.0093,0.0001,0
27.7976,16.2482,16.2521,4.891,2.6937,0,1.7162,0.2002,0.0101,0.0003,0
27.7714,16.2604,16.2643,4.905,2.6928,0.0003,1.858,0.2004,0.0105,0.0005,0
27.7145,16.2687,16.2726,4.876,2.6912,0.001,1.9158,0.2007,0.0095,0,0
27.6487,16.2693,16.2732,4.811,2.6891,0.0003,1.8614,0.1897,0.0105,0.0001,0
27.6374,16.2631,16.267,4.728,2.6882,0.0001,1.7482,0.1897,0.0106,0.0002,0
27.6005,16.2552,16.2591,4.634,2.6878,0.0006,2.0385,0.1897,0.0096,0.0003,0
27.4866,16.2443,16.2482,4.547,2.6873,0.0008,1.9467,0.2039,0.0106,0,0
27.3513,16.2309,16.2348,4.488,2.6862,0.0009,1.9792,0.2038,0.0107,0,0
27.1851,16.2164,16.2203,4.463,2.6874,0,1.7903,0.2039,0.0103,0.0002,0
27.041,16.2018,16.2057,4.477,2.6889,0.0002,1.7276,0.21,0.0112,0,0
26.9812,16.1877,16.1916,4.517,2.6885,0,1.5389,0.2103,0.0106,0,0
27.2764,16.1813,16.1852,4.586,2.6883,0,1.7404,0.2101,0.0092,0.0005,0
